trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,FALSE,"{'a': 0.5, 'e': 0.9360999518731576}",20,1,-29.63179561,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
67,FALSE,"{'a': 0.5, 'e': 0.9351638519212845}",20,0,-30.04831292,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
68,FALSE,"{'a': 0.5, 'e': 0.9342286880693632}",30,0,-84.97704547,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
69,FALSE,"{'a': 0.5, 'e': 0.9332944593812939}",25,0,-65.24339544,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
70,FALSE,"{'a': 0.5, 'e': 0.9323611649219126}",25,0,-38.92648294,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
71,FALSE,"{'a': 0.5, 'e': 0.9314288037569907}",20,0,-58.77317513,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
72,FALSE,"{'a': 0.5, 'e': 0.9304973749532336}",35,0,-64.56899263,"{0: 24, 1: 5, 2: 6, 3: 0, 4: 0}",0
73,FALSE,"{'a': 0.5, 'e': 0.9295668775782804}",20,0,-46.89930103,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
74,FALSE,"{'a': 0.5, 'e': 0.9286373107007021}",35,0,-78.12312377,"{0: 23, 1: 3, 2: 9, 3: 0, 4: 0}",0
75,FALSE,"{'a': 0.5, 'e': 0.9277086733900014}",25,0,-23.50627109,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
76,FALSE,"{'a': 0.5, 'e': 0.9267809647166114}",30,11,2.959023075,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,FALSE,"{'a': 0.5, 'e': 0.9258541837518948}",25,0,-89.10711222,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
78,FALSE,"{'a': 0.5, 'e': 0.9249283295681429}",25,0,-46.62288994,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
79,FALSE,"{'a': 0.5, 'e': 0.9240034012385747}",35,0,-58.02527818,"{0: 24, 1: 4, 2: 7, 3: 0, 4: 0}",0
80,FALSE,"{'a': 0.5, 'e': 0.9230793978373362}",25,0,-39.73170554,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
81,FALSE,"{'a': 0.5, 'e': 0.9221563184394989}",20,0,-25.62489587,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
82,FALSE,"{'a': 0.5, 'e': 0.9212341621210594}",25,0,-63.66661951,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
83,FALSE,"{'a': 0.5, 'e': 0.9203129279589383}",20,12,-12.62692186,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,FALSE,"{'a': 0.5, 'e': 0.9193926150309794}",30,0,-36.38135278,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
