trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1679,False,"{'a': 0.5, 'e': 0.18640378706089153}",25,11,14.292270934192217,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1680,False,"{'a': 0.5, 'e': 0.18621738327383064}",30,19,18.449902902268505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1681,False,"{'a': 0.5, 'e': 0.1860311658905568}",20,6,7.907751520309589,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1682,False,"{'a': 0.5, 'e': 0.18584513472466624}",25,7,19.396744185629313,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1683,False,"{'a': 0.5, 'e': 0.18565928958994157}",30,13,7.356573374537365,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1684,False,"{'a': 0.5, 'e': 0.18547363030035163}",25,15,8.076028795982516,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1685,False,"{'a': 0.5, 'e': 0.18528815667005127}",25,8,3.519240809509228,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1686,False,"{'a': 0.5, 'e': 0.18510286851338123}",20,0,33.03706306356666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1687,False,"{'a': 0.5, 'e': 0.18491776564486784}",25,13,20.7309063378628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1688,False,"{'a': 0.5, 'e': 0.18473284787922298}",25,17,15.391716391989943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1689,False,"{'a': 0.5, 'e': 0.18454811503134377}",20,10,18.07632170778244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1690,False,"{'a': 0.5, 'e': 0.18436356691631242}",20,13,15.334256098393858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1691,False,"{'a': 0.5, 'e': 0.1841792033493961}",20,4,4.665153044098677,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
1692,False,"{'a': 0.5, 'e': 0.1839950241460467}",30,11,22.109058014975716,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1693,False,"{'a': 0.5, 'e': 0.18381102912190067}",20,13,14.042356290548566,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1694,False,"{'a': 0.5, 'e': 0.18362721809277877}",25,15,16.40811134380076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1695,False,"{'a': 0.5, 'e': 0.18344359087468598}",30,13,33.13489822448475,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1696,False,"{'a': 0.5, 'e': 0.1832601472838113}",25,15,-4.211539937979824,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
1697,False,"{'a': 0.5, 'e': 0.18307688713652748}",20,11,5.95695889191879,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1698,False,"{'a': 0.5, 'e': 0.18289381024939094}",20,0,38.80151179555308,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1699,False,"{'a': 0.5, 'e': 0.18271091643914156}",25,11,-11.605482579528568,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
1700,False,"{'a': 0.5, 'e': 0.1825282055227024}",25,3,27.372534758795666,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1701,False,"{'a': 0.5, 'e': 0.1823456773171797}",25,19,3.8490306853894265,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1702,False,"{'a': 0.5, 'e': 0.18216333163986254}",20,6,24.37121748323256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1703,False,"{'a': 0.5, 'e': 0.18198116830822267}",20,12,12.869845772520701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1704,False,"{'a': 0.5, 'e': 0.18179918713991444}",25,20,10.069653749212954,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1705,False,"{'a': 0.5, 'e': 0.18161738795277454}",20,12,16.853693876071087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1706,False,"{'a': 0.5, 'e': 0.18143577056482177}",30,11,15.660212494473294,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
1707,False,"{'a': 0.5, 'e': 0.18125433479425695}",20,0,19.649877775921013,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1708,False,"{'a': 0.5, 'e': 0.1810730804594627}",20,14,9.535576190884287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1709,False,"{'a': 0.5, 'e': 0.18089200737900324}",35,18,8.579009348199104,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1710,False,"{'a': 0.5, 'e': 0.1807111153716242}",20,7,12.789303535361,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1711,False,"{'a': 0.5, 'e': 0.1805304042562526}",25,0,25.471167438680826,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1712,False,"{'a': 0.5, 'e': 0.18034987385199636}",25,14,8.59574002271624,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1713,False,"{'a': 0.5, 'e': 0.18016952397814434}",30,6,35.90047176143012,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
1714,False,"{'a': 0.5, 'e': 0.1799893544541662}",20,7,17.815572581468242,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1715,False,"{'a': 0.5, 'e': 0.17980936509971204}",20,8,19.10743149912098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1716,False,"{'a': 0.5, 'e': 0.1796295557346123}",30,23,15.009192297273692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1717,False,"{'a': 0.5, 'e': 0.1794499261788777}",35,19,16.02298163991158,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
1718,False,"{'a': 0.5, 'e': 0.17927047625269885}",30,16,16.797736144147365,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1719,False,"{'a': 0.5, 'e': 0.17909120577644613}",20,16,4.93867299814806,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
